id,text,label
1,"Emi Kuboyama here in Washington, D.C., with Aaron Zajic, May 17, 2019. So, Aaron, could you start by stating your name and giving us your role or title with the Office of Redress Administration?",Redress movement
2,"Well, my name is Aaron Zajic, and my role when I first started, I think I was a file clerk. I progressed from file clerk to the team lead for, I think it was called Team 2 Evaluation or something like that. And basically as the cases were processed through to eligibility and payment, or possibly needed to get sent back to the potential recipient for follow up, for more information, we had a group that would just basically look to verify that the person who was applying had some historical record that we could track them down, whether it was the little index cards that were in our file cabinet, or some of the other documentation that could show that this person was also one of the folks that was listed on one of the camp rosters or one of the little index cards. And we would often look at birth certificates because when they were on the camp roster, they were listed as who were their parents. So if they provided a birth certificate, it had the name and date of birth, and the parents all matched, we were pretty sure we had the right person.",Pre-war background to the incarceration#Redress movement
3,And I understand that this was one of your first jobs after college. Could you talk a little bit about where you went to school and how you ended up in this role?,Pre-war background to the incarceration#Redress movement
4,"So I went to school at, it used to be called Western Maryland College, now it's called McDaniel College. It's a small liberal arts school sort of in central Maryland. And after I got out of school I was working at the beach in the summer, so I went back to the beach because I didn't really have a job lined up. And this was in 1987 when I graduated from college. Then I worked at Macy's, I was in a factory, and then I got a job at a sign company working installing and designing signs. And it didn't pay very well, so at night I was working at Macy's. I met a friend of one of my buddy's dad, who knew a person that worked at Department of Justice and said, ""Hey, I hear of this project that is looking to hire. So I applied for the job and I think I got lucky, and I got the job. I had a funny story, on the way to the job, I was going to meet a friend for lunch and I got a flat. And I had my nice suit from Macy's that I had gotten at a Macy's discount, and I got soaking wet and filthy because it was kind of raining and slushing. By the time I got to the interview, I was way too late to meet my friend for lunch, but I didn't have a cell phone back then, because I had to change a tire. When I got there, the person that was interviewing me noticed how wet I was, and I think that came to my benefit because most people have an excuse for not coming because they had a flat tire. I actually had the flat tire and made it. So just maybe my bad luck of a flat tire was good luck in that I was covered with dirt a little bit.",Pre-war background to the incarceration#Redress movement
5,Do you remember who it was that interviewed you?,Pre-war background to the incarceration#Redress movement
6,"Alicie West Simpson. I have completely lost track of her, I don't know if she'll remember that, but I definitely got a flat on the way to the interview.",Pre-war background to the incarceration#Redress movement
7,"So when you first started, can you describe a little bit about the office structure? Who was working? Who was in charge? How the whole office was set up?",Pre-war background to the incarceration#Redress movement
8,"So we were in a building on 1333 F Street which wasn't, it was kind of more of a tall row of different office spaces. Were you there for that?",Redress movement
9,"So we were in a building on 1333 F Street which wasn't, it was kind of more of a tall row of different office spaces. Were you there for that?",Redress movement
10,"No, I started at DOL (Department of Labor).",Pre-war background to the incarceration
11,"So it had like five or six floors, it was an older building, and I think we had two of the floors. On one of the floors was the main processing, on the second floor was all the files, and I think it was the fourth and the third floor, I can't remember because this was 1990. And we had our Special Verifications Unit, which, if anyone had any issues where it wasn't clear cut, if we were looking at it and we weren't sure that this was the same person because the names didn't quite match or the date of birth didn't match, we would send it to our Special Verification Unit which would do verification of more difficult cases that weren't super clear cut. And when I first started, I was just doing mail. The program had already started in August of, I guess it started in 1988 after the bill was signed. And by the time I started, it was March of '90. So we were not making any payments yet, but we were processing lots of mail. And unfortunately, it had been so long, a lot of people had passed away but were alive in August 10, 1988, when the bill was passed, so they were eligible. Once they passed away, there was a series of triggers for how the heirs would come out. If a spouse was alive -- and I think the spouse was the primary heir -- if the spouse had passed, then there would be child heirs. In some cases, if the spouse had passed and there was no children but the parents were alive, the parents would be eligible. We did have cases where the parents were eligible as the heirs. So when a parent had passed, what my initial role was, was to match the mail up with a folder. If the parent had passed away and we got this information, then maybe we would send out a whole bunch of letters to all of the children. In some cases there was up to a dozen children. They wouldn't all send it in at the same time, but this was, again, 1990, so we didn't have some automated system with bar codes where we would scan them. They would go to the folder, and there was a guy that would get the mail and match it to the folder and hand the folder to an analyst for review. If the folder wasn't there, he would just put 'em in a bin. And as the bins were filling up, there wasn't enough staff for someone to actually go and try to figure out what happened to all of the folders. So when I started, I had probably five or six bins of mail that I needed to catch up to the folders. And I ended up just spreading 'em all on the floor and sorting them alphabetically and trying to match them with the folders. And sometimes the folders were back in the file cabinets by the time I got to 'em, and in some cases they were still out on the floor with an analyst. So I would come in with a stack, ""Anybody got any of these five people?"" I would just yell out names. ""Oh, I got it,"" I would hand it out to them.",Redress movement
12,So it was just one big open space?,Redress movement
13,So it was just one big open space?,Redress movement
14,"There was two sections. Again, this wasn't office space that was designed specifically for redress, it was whatever the cheapest space that someone could get was. So there were two, sort of, bubble rooms. There were two rooms where you would just have a bunch of desks, maybe kind of like a big conference room. And the office that I shared with Martha Watanabe just was all windows, so we could, I guess, look out on the floor and see who was working and who wasn't, but we never did it that way. But it was just odd to have an office that was all glass that everyone could look in and see what we were doing. But it took me a couple months to fully catch up all the mail to the files. And a lot of times people would send something in and realize, ""Oh, I should have sent additional documentation in."" But that would be four days behind, and by then, the folder was in the process.",Redress movement
15,So did you ever reach out to the individuals directly? Did you pick up the phone and call them to verify any information?,Redress movement
16,"So when I first started as the mailroom person... we didn't even have a mailroom, but just the boxes of mail guy, I never reached out to anybody. But once I caught up, then there was a need for people to help with analysis. So I, for a while, was just an analyst doing it, and then I got to be sort of the team leader. So I would keep track of the stats of what was going through, track all the case numbers that were in my group, and as they would get sent to the next section, we would always kind of know how many we had, where things were going. And then as stuff got tricky, we had a very international crew. So some folks wouldn't feel comfortable calling, so they would give it to me and I would call and say, ""Look, you sent me this particular document, but it doesn't really meet our needs. I'm going to send you a request for another document, but please don't send me the same thing that you sent before because the photograph of a headstone isn't the proof that we need that your parent has passed. I need a death certificate."" So we would just have to... that happened a couple times. I don't mean to make light of it, but we would get a lot of the wrong type of document, or we would get photocopies of stuff. And then people had, there was a certain statement, ""I declare, under penalty of perjury, the following statement to be true and correct,"" or that this is an original, and sometimes you wouldn't put the right statement on there.",Legal challenges#Redress movement
17,"So I'm trying to get a sense of, kind of, the size of the operation. You said at one point you were a team leader, so how many teams would you say there were and how many people were on each team?",Redress movement
