id,text,label
461,"Today's date is Sunday, November 10, 2013. This interview is taking place at the residence of Albert and Masuko Oyama in Lake Oswego, Oregon. Todd Mayberry and Betty Jean Harry from the Oregon Nikkei Endowment are observing this interview, and Ian McCluskey from NWDocumentary is the cameraman. I am the interviewer Janet Kakishita, and I will be interviewing my uncle, Albert Oyama, for this project, sponsored by the Oregon Nikkei Endowment, part of the Minidoka oral history project. Uncle Albert, we're going to start with some personal questions getting to know you, like when and where were you born?",Life after removal and during the incarceration
462,"I was born in Portland, Oregon, Emanuel Hospital, April 10, 1926.",Life after removal and during the incarceration
463,"And at that time, where were your parents living?",Life after removal and during the incarceration
464,"They were living out in Montavilla, which is an east side district of Portland area.",Life after removal and during the incarceration
465,And what was the name that you were given at birth?,Life after removal and during the incarceration
466,Albert Akira Oyama.,Life after removal and during the incarceration
467,And is there any significance to your name?,Life after removal and during the incarceration
468,"Not that I'm aware of. Akira, in Japanese, I understand, means ""bright light."" But other than that, I don't know anything about it.",Life after removal and during the incarceration#Returning of Japanese American after WWII
469,"Okay. And let's talk a little bit about your father, get to know your father. What was his full name?",Life after removal and during the incarceration
470,"His name was Iwao Oyama, and he's from Japan. He grew up in Yamanashi-ken, which is an area due west of Tokyo. He grew up as a farmer's son, though his grandfather, I understand, was a medical doctor in that area.",Life after removal and during the incarceration
471,And how about your dad? Was he going to school then?,Life after removal and during the incarceration
472,"Yes. He was the second-born in his family, and I believe he was the second. And he went to Waseda University in Tokyo. He graduated from Waseda, which, at that time, was known primarily as a journalism school. So he graduated there before he came over to the United States.",Life after removal and during the incarceration
473,Okay. And how did he decide to come to the United States?,Life after removal and during the incarceration
474,That I don't know. I never talked to him about that.,Life after removal and during the incarceration
475,Do you know how many brothers and sisters he had?,Life after removal and during the incarceration
476,I think he was the second in a family of five children.,Life after removal and during the incarceration
477,And then let's talk about your mom. What was her name?,Life after removal and during the incarceration
478,"Her name was Izumi Abe, and she grew up in, was born and grew up in Yamagata-ken, which is northwest of Tokyo.",Life after removal and during the incarceration
479,And what kind of work did your mother's family do?,Life after removal and during the incarceration
480,They were all in agriculture.,Life after removal and during the incarceration
481,"And how did your mother decide to come, her family decide to come to the United States?",Life after removal and during the incarceration
482,"That I don't know, although she was one of the few that went to college, she graduated from Tokyo Women's College. And why she decided to come to the U.S., I don't know. I don't even know if she knew my father at the time when she came over or not.",Life after removal and during the incarceration
483,"Okay, let's talk about both of them now. How did they meet and get together?",Life after removal and during the incarceration
484,Again...,Life after removal and during the incarceration
485,Do you know?,Life after removal and during the incarceration
486,"I don't know. All I know is that they met, and I believe they both met in Seattle. And my mother's uncle was a newspaper man, and he ran the newspaper in Portland, Japanese newspaper in Portland, Oregon. So I think my father came down to Portland to learn the newspaper, because my uncle wanted to go on down to San Francisco, and do a Japanese newspaper in the San Francisco Bay area. My mother evidently came to Portland about the same time, and they were married here in Portland in 1922. So that was probably a year or two after they came over from Japan.",Life after removal and during the incarceration#Returning of Japanese American after WWII
487,"Thinking of your father, how would you describe him and his personality?",Life after removal and during the incarceration
488,"Well, strictly a businessman. He ran the Japanese newspaper, as I said, it was a regular printer with Japanese type, and had about, I guess around twenty or twenty-five employees at the time.",Life after removal and during the incarceration#Returning of Japanese American after WWII
489,What else do you remember about the newspaper? Did you get to go down and help at the shop?,Life after removal and during the incarceration
490,"I used to deliver papers. And I'd deliver to all the north end Japanese people, businesses, and I remember being paid eight dollars a month for that job.",Life after removal and during the incarceration#Returning of Japanese American after WWII
491,And did you do it by bike or bus?,Life after removal and during the incarceration
492,"I walked. In the north area, most of the businesses were close together in what's now known as Japantown, so I just walked that route. The south was a little farther spread out, but I did not deliver in the south, there was another route, that place.",Life after removal and during the incarceration
493,"What was the name of the newspaper that your dad started, and where was it located?",Life after removal and during the incarceration
494,"It was called the Oshu Shimpo, and Japanese type only, no English, and it was a daily, Monday through Friday.",Life after removal and during the incarceration#Returning of Japanese American after WWII
495,And where was this newspaper office located?,Life after removal and during the incarceration
496,"The office is at the site now where the Nikkei Endowment office is, at Second and Davis.",Life after removal and during the incarceration
497,"So if you could think back, walking into your dad's newspaper, what would a person see? I mean, what did the business look like with the twenty, thirty people working?",Life after removal and during the incarceration
498,"Well, the thing that impressed me the most was his desk. And the reason his desk impressed me, it was always covered with papers and everything. But around three edges of the table, there were cigarette burns on all three edges, because my dad was a very heavy smoker. [Laughs]",Life after removal and during the incarceration
499,How did they do the print in Japanese?,Returning of Japanese American after WWII
500,"It was all type, it was sent over from Japan. So there was no hand typing or anything like that, it was all individual characters that were on lead type, and the ladies used to pick out the type from a large collection on the board. They would put it onto the press and have a printer, a mechanical printer that printed the paper.",Life after removal and during the incarceration#Returning of Japanese American after WWII
501,"We'll get back to the newspaper as we go through our interview, different phases. What was your mom like? What was her personality?",Life after removal and during the incarceration
502,"Well, that's not too easy for me to say. I didn't have too much to share with her. I was, I think I had one sister, Minnie, and I think the two of us pretty much grew up by ourselves, because my dad was never at home, he was always on business downtown or talking at various groups and things. So we never saw too much of him as we were growing up. But my mother was always at home.",Life after removal and during the incarceration
503,"And what did you observe about the relationship between your mom and dad? How did they deal with difficult situations, or how did they show affection?",Life after removal and during the incarceration
504,"My dad never used to take me fishing or hunting or anything, but we did always go to the community picnics that were held. And both my father and mother were members of the Nichiren Buddhist Church, so my sister and I of course went with him to the church.",Life after removal and during the incarceration
505,I'm going to talk now about your childhood. You said you had a sister Minnie. Was she older than you or younger?,Life after removal and during the incarceration
506,"She was two years older than I was. At the time when we grew up, we lived out in Montavilla as I mentioned, so we did not know many of the downtown north end or south end Japantown people. So we were sort of isolated from the Japanese community. Most of my friends were hakujin friends. There were a few Japanese families that lived out in the Montavilla-Troutdale-Gresham area that we knew, but they were few and far between. Most of my friendships, as I say, were with the hakujins. Also, my dad took me downtown to the YMCA, and he got me to be a member of the YMCA, downtown YMCA group, and so I had a lot of friends, mostly all hakujin friends, at the downtown YMCA, the one on Sixth and Taylor.",Life after removal and during the incarceration#Returning of Japanese American after WWII
507,What kind of activities did you do as a young person when you were out in Montavilla?,Life after removal and during the incarceration
508,"We had a basketball team of all the kids my age. We didn't play much football or baseball, mostly basketball, 'cause that was probably the easiest sport to play without equipment. So I think that was the primary thing that kept us going. Also, in Montavilla, there was a park present, so we used to go to the park and play a little bit there.",Life after removal and during the incarceration
509,And so your basketball team was mostly hakujins?,Life after removal and during the incarceration
510,Yes.,Life after removal and during the incarceration
511,And did you move from Montavilla?,Life after removal and during the incarceration
512,"Yes. When I became high school age, we moved to, close to Washington High School, 17th and Ankeny, which is right next, one street over from Burnside street on the east side. But it was within walking distance of Washington High School, so we went to school there.",Life after removal and during the incarceration
513,Were there... what was the population like at Washington? Were there Japanese there?,Returning of Japanese American after WWII
514,"There were a few. Again, only a few. Most of my friends there also were hakujins.",Life after removal and during the incarceration
515,And what kind of activities did you continue to pursue or start up there?,Life after removal and during the incarceration
516,"I played basketball, continued to play basketball there. I managed to play on the Washington junior basketball team, not the major, the regular team, but the junior team. And then I took up the sport of table tennis. And so I played a lot of table tennis and got to be pretty adequate as far as that's concerned.",Life after removal and during the incarceration
517,How did your family decide to move to Montavilla and then to the Washington High School area?,Life after removal and during the incarceration
