id,text,label
713,"Okay, so today is Tuesday, May 13, 2008, and we're in Denver. My name is Tom Ikeda, and I'm the interviewer. On camera we have Kirk Peterson with the National Park Service, and we're doing this interview for the National Park Service, it's the Manzanar National Historic Site in partnership with Densho: the Japanese American Legacy Project. So this is a partnership. And so today we have Albert Miyagishima as our person. So Albert -- or Alfred, I'm going to start at the very beginning, I'm sorry. So can you tell me your full name when you were born?",Life after removal and during the incarceration#Returning of Japanese American after WWII
714,"Well, Alfred Shunji Miyagishima, born in Scottsbluff, Nebraska, December 2, 1926.",Pre-war background to the incarceration
715,And do you know why you were named Alfred?,Life after removal and during the incarceration
716,"Yeah. Nobody ever told me, but we used to have a summer visitor who was a professor at the University of Georgia, and they used to come to Scottsbluff every summer, and him and his brother George and his, Alfred's wife, I believe one of 'em was a professor, his brother was a dentist. And one of 'em, I can't remember which, used to teach Japanese school in the summer. And I really don't know what the relationship was with other people there or whatever, but I think I was probably named for him.",Returning of Japanese American after WWII
717,"Okay, that's good. And then the Shunji, where did that come from?",Life after removal and during the incarceration
718,"My brother's name is Shunichi, and I guess ""Shun"" is more of the given name, ""ichi"" is the first son, ""jun,"" ""ji"" is the second son, so my brother's name is the ""first son,"" ""ichi,"" Shunichi, and I'm Shunji.",
719,So let's talk about your father first. What was his name and where in Japan was he born?,Returning of Japanese American after WWII
720,"Well, for some reason, he started out, his name was Gontaro Miyagishima, and he was born in Shizuoka, Japan, and I don't know what town it was. I believe the year was 1890, and later on he changed his name to Toshiro, and I remember he used to sign our, my report cards ""Fred G. Miyagishima"" for the longest time, then all of a sudden it changed to ""Fred T."" So I really don't know what transpired at that time to change the name. Gontaro is a very ancient name, you know. My mother --",Returning of Japanese American after WWII
721,"Before you get to your mother, your father's family, what did they do in Japan? What did your father's family do in Japan?",Life after removal and during the incarceration
722,"I have no idea. My father passed away when he was fifty-six or fifty-seven. I spent two years in the service probably at the time that I should be asking a lot of questions. But we were put in the camp, you know, the evacuation camps at that time, and then I spent I spent two years in the service. And then in the meantime, he passed away, so there's a void there that, well, the circumstances as it were created those things, and I wasn't ever able to ask him some of those questions. Because when you're younger, you don't, you're not inquisitive about those things, you're not mature enough to ask about 'em. When you get older, then you understand, you'd like to know.",Life after removal and during the incarceration#Returning of Japanese American after WWII
723,Did you ever get a chance to find out why he left Japan and came to the United States?,Returning of Japanese American after WWII
