id,text,label
1003,And what was the date? What's your birthday?,Life after removal and during the incarceration
1004,June 12th.,Life after removal and during the incarceration
1005,June 12th. And then what was the name given to you at birth?,Life after removal and during the incarceration
1006,"Arthur, middle name was Kinya, K-I-N-Y-A.",Life after removal and during the incarceration
1007,"Good. Can you tell me, in terms of siblings, the order that you were born? So if you, like, start with the oldest and then just kind of go down the birth order.",Life after removal and during the incarceration
1008,"Yeah, my sister Kazuko, she was born 1920. And then my younger sister, Lyla, was born 1923.",Life after removal and during the incarceration
1009,"That must have been interesting. We'll talk more about that. Let's go to your father. What was, what was your father's name?",Life after removal and during the incarceration
1010,Takaji.,Life after removal and during the incarceration
1011,"And do you recall where he, where his family came from in Japan?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1012,"Yes, he was from Okayama, Japan.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1013,"And do you know what, what kind of work your father's family did?",Life after removal and during the incarceration
1014,"They had a farm, a fairly sizable farm. He was the eldest of three brothers.",Life after removal and during the incarceration
1015,"So why, as the eldest of three brothers, why did he come to the United States?",Life after removal and during the incarceration
1016,"Well, he, I believe that he didn't want to join the army.",Life after removal and during the incarceration#Military services
1017,"So your father was interested. Can you tell me anything about your father's family in terms of maybe his siblings or anything about the family in Japan? You've mentioned he's the eldest of, what, three brothers?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1018,"Yes. Well, he came over when he was about nineteen, so he left the family in charge of his younger brother.",Life after removal and during the incarceration
1019,"And do you know any stories in terms of how your Dad's, say, parents, like your grandparents, reacted to his wanting to come to the United States?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1020,He never discussed that.,Life after removal and during the incarceration
1021,"What was your father like? If you were to describe him, what was he like?",Life after removal and during the incarceration
1022,"Oh, I believe he was quite intelligent. He was fairly tall for a Japanese.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1023,"So maybe about 5'7"" or so?",Life after removal and during the incarceration
1024,"5'7"", yeah.",Life after removal and during the incarceration
1025,"Okay, so let's... well, so tell me, so when he, he came as a nineteen-year-old, and so what did he do when he first came to the United States?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1026,"Well, he was a laborer, working in a, working in the nursery greenhouse business.",Life after removal and during the incarceration
1027,"So talk about that. I mean, so, by the time your father came to Seattle, were there other family members already here doing things?",Life after removal and during the incarceration
1028,"No, he was the only one.",Life after removal and during the incarceration
1029,"So did he start the, sort of, the greenhouse?",Life after removal and during the incarceration
1030,"No, that was my mother's side.",Life after removal and during the incarceration
1031,"So let's, let's go to your mother's side. So what was your mom's name?",Life after removal and during the incarceration
1032,My mother's name was Sadako.,Life after removal and during the incarceration
1033,"And before we get to Seattle, what do you know about... so where in Japan did her family come from?",Life after removal and during the incarceration
1034,She came from Tottori.,Life after removal and during the incarceration
1035,So where's Tottori? That's a new one for me. Tottori is where? Do you know what ken that is?,Life after removal and during the incarceration
1036,No.,Life after removal and during the incarceration
1037,"Okay, and what, what kind of work did your mother's family do in Japan?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1038,They were also farmers.,Life after removal and during the incarceration
1039,"So your grandparents on your mother's side, this is a little unusual. So they were already somewhat established in Japan with children, and they decided to leave their children in Japan, come to the United States to start a business or some work?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1040,Yes.,Life after removal and during the incarceration
1041,"And was this the greenhouse business, then?",Life after removal and during the incarceration
1042,Yes.,Life after removal and during the incarceration
1043,They just sent for the children?,Life after removal and during the incarceration
1044,"Yeah, as children were teenagers, they brought 'em over one at a time.",Life after removal and during the incarceration
1045,"And so your mother, was she in Japan?",Life after removal and during the incarceration
1046,"Yes, she was the second of the four.",Life after removal and during the incarceration
1047,"Oh, this is interesting. Second of four, so she... and who took care of the four children?",Life after removal and during the incarceration
1048,"The aunt, the aunt took care of the four children.",Life after removal and during the incarceration
1049,"Now, do you know much about your grandparents and what they were like to come to Seattle to do this?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1050,"Oh, yes. I knew my, my grandfather passed away back in 1926, I believe, but I vaguely remember him. My grandmother lived to be about eighty-four, so I knew her quite well.",Life after removal and during the incarceration
1051,And so what were they like?,Life after removal and during the incarceration
1052,"I really don't recall too much of my grandfather, but he was quite a businessman. He had, he had this greenhouse/nursery business, and he had quite a few people working for him. And my dad got a job there, he was the foreman of the company.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1053,And so is this where your father met your mother?,Life after removal and during the incarceration
1054,"Yes, that's right.",Life after removal and during the incarceration
1055,"Akichika, okay. And so that was Hiromi, and then was Sadako the second?",Life after removal and during the incarceration
1056,Second one.,Life after removal and during the incarceration
1057,"And then tell me a little bit about the business. So this greenhouse business, where was this located?",Life after removal and during the incarceration
1058,"It was located on the Bothell Highway. They had a 5 acre piece right on, right on the highway, and they had a number of greenhouses, then they had a nursery business, selling shrubbery and all kinds of things like that.",Life after removal and during the incarceration
1059,And were there very many other Japanese that lived out near the greenhouse?,Life after removal and during the incarceration#Returning of Japanese American after WWII
1060,"Well, yeah, there was, not in the immediate vicinity, but that Green Lake book shows all the Japanese that are living in the north end.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1061,"So, as much as you can, tell me about the greenhouse business. I mean, was this a business that traditionally Japanese would do, and who would be the customers? Can you just kind of give me a picture of this business and how it operated?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1062,"Yeah, they grew flowers. My uncle and grandfather grew chrysanthemums and bedding plants, Easter lilies. And it, springtime was an exceedingly busy time, 'cause they grew bedding plants, and Easter was a very crucial time, they had to get everything out, you know, within a week, and so it was quite a hectic time. I remember going out there helping after school and evenings and weekends.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1063,Was this like a retail business or more a wholesale business?,Life after removal and during the incarceration
1064,"Well, they were very fortunate and they had both. They were on the highway, so they had a fairly good retail business. Then the rest was the things they took, took down to the wholesale house.",Life after removal and during the incarceration
1065,And where was the wholesale house? Where would they go for that?,Life after removal and during the incarceration
1066,It was in downtown Seattle.,Life after removal and during the incarceration#Returning of Japanese American after WWII
1067,"Like the Pike Place Market, around there?",Life after removal and during the incarceration
1068,"No, it was... I forget what, where it was located, but it was, name of the wholesaler was Jones, I believe.",Life after removal and during the incarceration
1069,And tell me a little bit about your mother. What was she like? How would you describe your mother?,Life after removal and during the incarceration
1070,"Well, she, she came over to this country when she was about fifteen, and she attended Maple Leaf grammar school for a couple of years, and so she picked up a little bit of English. During the time when they were in Japan, the parents had additional kids (in the U.S.), and she had a number of younger siblings. And it was kind of, they felt very uncomfortable with, like, my mother going to school, she was fifteen and she was in the first and second grade, and they were kind of ashamed to think that they had a dumb older sister. But there was, there wasn't the closeness between the ones that were born here and the ones that were in Japan because their culture was altogether different.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1071,"...of children. Tell me about those children, who were they?",Life after removal and during the incarceration
1072,"Okay, the oldest was May, and she married a fellow by the name of Tony Gomez. He used to be, he was working for the Seattle Times. And then the next one was George, and he became a farmer in Idaho. And the next one was Tom, he also became a farmer in Idaho. And then the next one was Woodrow, he was in the forest product, he was the first one that went to the university, majored in forestry. And the next one was Martha, she was a dancer, and the youngest one was Connie, and she married Hideki Sekijima.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1073,"And so was that, did that, were there any problems or issues with that, or was that just kind of like, just felt normal to you? Or I mean, when, so you saw your, Connie, you probably didn't, did you call her, like, Aunt Connie?",Life after removal and during the incarceration
1074,I never called her aunt. [Laughs],Life after removal and during the incarceration
1075,"She was just, like, more like a cousin, perhaps?",Life after removal and during the incarceration
1076,Yeah.,Life after removal and during the incarceration
1077,"Okay. And so, and so you talked about sort of this, maybe difficulties between the older siblings and the younger siblings? And a lot of it was the younger siblings, did you feel like they felt maybe a little ashamed because the older siblings didn't speak English as well? Is that what happened?",Life after removal and during the incarceration
1078,"But my mother's younger siblings, Yutaka and Masao, they both went to high school and they were very fluent in English. They came over a little bit younger than my mother. But turned out that (...), other than Hiromu (who) had the greenhouse in the north end, they all lived in the south end of town, so we used to differentiate by the north enders and the south enders. So we weren't that close with the people in the north end.",Life after removal and during the incarceration
1079,"So who, who were the north enders and who were the south enders? I mean, what was that distinction?",Life after removal and during the incarceration
1080,"All the younger, younger ones lived in the north end.",Life after removal and during the incarceration
1081,And so your family and Yutaka and Misao's family were south end?,Life after removal and during the incarceration
1082,"South end, yes.",Life after removal and during the incarceration
1083,"Well, let's talk about your family now a little bit more in terms of, so after your father and mother were married, what kind of work did they, did they do in the south end?",Life after removal and during the incarceration
1084,"My dad had a, had a hotel downtown Seattle, and then when the war ended, all the shipyards closed, and so they, the business floundered and so they went out of business.",Life after removal and during the incarceration
1085,And so did he have the hotel before the war?,Life after removal and during the incarceration
1086,"No, no, after.",Life after removal and during the incarceration
1087,"Well, so in the '20s, what kind of work do you remember?",Life after removal and during the incarceration
1088,"Well, after the, after the business was bankrupt...",Life after removal and during the incarceration
1089,"Oh, so you're talking, when you say ""war,"" were you talking about World War I?",Life after removal and during the incarceration
1090,World War I.,Pre-war background to the incarceration
1091,"Okay, so he did that. And then how did that go?",Life after removal and during the incarceration
1092,"Well, we were barely able to make a living, I guess. In 19'... I think it was about 1930, my dad decided to go back to Japan to visit his folks, 'cause he had never gone back. And so when he came back, then he opened up this little grocery store up on Capitol Hill.",Life after removal and during the incarceration
1093,And where was the grocery store located?,Life after removal and during the incarceration
1094,"On Belmont and Olive Way. It was an all-Caucasian neighborhood, and so I went to school, Lowell School up on Capitol Hill.",Life after removal and during the incarceration
1095,So is that close to the B & O sort of restaurant?,Life after removal and during the incarceration
1096,Yeah. The B & O restaurant took over the store that my dad had.,Life after removal and during the incarceration
1097,"That's funny, I still go there and they have great desserts at night. Yeah, Belmont and Olive, is that why it's called the B & O? I just looked at that, B & O, Belmont and Olive?",Life after removal and during the incarceration
1098,[Laughs] I don't know.,Life after removal and during the incarceration
1099,"Apartment houses, and if you go further north, you have nicer homes that way. And so tell me about the customers of the store. What were they like, who were they?",Life after removal and during the incarceration
1100,"Oh, most of 'em were working downtown. And in those days, not too many people had automobiles, so it was a short distance, about a mile downtown, so people used to walk downtown, and they lived in apartment. There were a few houses. Today, there's a lot more apartments up in that neighborhood, but those houses were torn down and new apartments went up.",Life after removal and during the incarceration
1101,Lived in apartments. And how about your playmates growing up in this neighborhood? Who were they?,Life after removal and during the incarceration
1102,"Oh, they were all Caucasians. There were several Swedish and Norwegian kids I used to play around with.",Life after removal and during the incarceration
1103,And so what kind of games would you guys play in the neighborhood?,Life after removal and during the incarceration
1104,"Oh, I didn't have that much time to play, 'cause I was working in, helping in the store all the time. And then I was involved in sports in school.",Life after removal and during the incarceration
1105,"So you can't recall, like, at night or something, just playing around or doing games with some of your friends in the streets?",Life after removal and during the incarceration
1106,"No, not at my... I had enough activities at school, so I didn't play around too much.",Life after removal and during the incarceration
1107,So what school did you go to in that neighborhood?,Life after removal and during the incarceration
1108,I went to Lowell. It was on Mercer and Federal Way.,Life after removal and during the incarceration
