id,text,label
1381,Did your parents call you Bennie also?,Life after removal and during the incarceration
1382,"No, Kiyoshi. I'm Kiyoshi. But with the dual citizen, well naturally when I got drafted in Fort Lewis, corporal, I got notice from Japan to report. Oh, Dad got real excited, and we can't leave one here and the rest of them go back, so he went to the consulate and got all the citizenship cancelled. I was a dual citizen in the army. I didn't tell the army anything about it. [Laughs]",Life after removal and during the incarceration#Military services#Returning of Japanese American after WWII
1383,"So your parents, you're second generation, and your parents came from Japan; is that right?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1384,"Yeah. My parents, well, both of them came from Kyushu. And Dad, he was the only son of a rich family, and he came to Hawaii and was married and had a daughter. And the first wife passed away, and he sends the daughter to his mother, who they call grandmother, and she took care, and Dad, he decided to come to Washington. And he came to Tacoma, then he went to Yakima and he didn't like it. And then he drifted over to the Boring. That's where he called my mother which is the second one. They always give the oldest daughter away first. And my dad said that he knows the family, the Nishimura family, and he would like to have the second one. She's the prettiest, best. So then my mom, as she came at the age of nineteen, I think, came to San Francisco, then came back up to Portland, then to Boring and got married in Boring.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1385,How old was your father when he came first time to U.S.?,Returning of Japanese American after WWII
1386,I don't know. It's in that report. That part I don't know how old he was then.,Life after removal and during the incarceration
1387,What made him decide to leave Japan?,Returning of Japanese American after WWII
1388,"Oh, they would get, they came out to make money and send money home because he's the only son and then go and support the family. But then again, when the mother passed away, he went back and donated property to the city hall, and city hall sits right on top of it in Japan. I don't know what town that is. My brother Jack, he knows where's this is at, but I didn't see it.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1389,What kind of work did his family do in Kyushu?,Life after removal and during the incarceration
1390,"They were kind of farmers. Yeah, Nishimuras, they were farmers. Nishimura family, well, my mom's family was a large family, but my dad was only a single son, so he had, but later on as we started growing up, Shigeta, he's the youngest brother to my mom, we always call him ""Uncle,"" and the age difference was as if it was my mom's child, so they called him over to help out on the farm. And he came over and joined up, and so his name is Ouchida. Actually, supposed to be Nishimura. He, heard of Hideo Ouchida, Frankie, Roy. That's supposed to be Nishimura on my mom's side. Come in illegal. Agree?",Life after removal and during the incarceration#Returning of Japanese American after WWII
1391,"You were saying that they were, they came over illegally. And how did they, how were they able to do that?",Life after removal and during the incarceration
1392,"That's not my, my mom and dad is legal, but the uncle who came in as my mom's youngest, well, she's the youngest, he's the youngest son but as a child, her child; therefore, he changed the name to Ouchida, and then he comes over.",Life after removal and during the incarceration
1393,And they came to Hawaii you were saying?,Life after removal and during the incarceration
1394,"My dad came to Hawaii first to work in the sugar beets, and he decided he wanted to come to U.S., so he came to the U.S. and then called my wife, my mom over and got married. Then later on after I was born, they called that daughter that he sent to Japan to Mother's side, they called her over and to help out, take care the kids like me, you know. [Laughs] And she was kind of wild, running around, chasing around, and he got married, she got married to, married Matt Takaki, the Takaki family that was doing the labor in Orient, get the Japanese here, and then they hire to the other jobs, labor something, they were doing that, Takakis. That's how we were connected to the Takaki family, through her.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1395,"How did you, how did your, can you tell me more about how your mom and dad met or how he sent her over?",Life after removal and during the incarceration
1396,"You mean mom, my mom met with Dad? They pretty much grew up. They knew each other in schools, in Japan, same place. So Dad knew her is the best looking and all this and that, and that's how Mom was able to come over. But my mom after he came over, she helped out on the logging camp. She gets up early, cook for the gang, and then she had to dish wash everything. And she goes out and help work the chainsaw or dragsaw and chop tree down, split, and then go back and cook for a gang. And evenings, she's the last one have to clean up. All the men are sleeping and the last one to go to bed. Then she had to be the first one to get up and get the meals ready, so the boys could go back to work. And that's why they left the logging and tried farming in Boring, and that's where Jack was born. And then they quit that and went to top of the hill of south of Gresham, south of 190th and Powell, and that's where my sister and I was born, on top of the hill.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1397,"You mean mom, my mom met with Dad? They pretty much grew up. They knew each other in schools, in Japan, same place. So Dad knew her is the best looking and all this and that, and that's how Mom was able to come over. But my mom after he came over, she helped out on the logging camp. She gets up early, cook for the gang, and then she had to dish wash everything. And she goes out and help work the chainsaw or dragsaw and chop tree down, split, and then go back and cook for a gang. And evenings, she's the last one have to clean up. All the men are sleeping and the last one to go to bed. Then she had to be the first one to get up and get the meals ready, so the boys could go back to work. And that's why they left the logging and tried farming in Boring, and that's where Jack was born. And then they quit that and went to top of the hill of south of Gresham, south of 190th and Powell, and that's where my sister and I was born, on top of the hill.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1398,What kind of stories did your parents tell you about their experience coming to Oregon and Washington? What kind of stories did they tell you about their experience?,Life after removal and during the incarceration#Returning of Japanese American after WWII
1399,What kind of stories did your parents tell you about their experience coming to Oregon and Washington? What kind of stories did they tell you about their experience?,Life after removal and during the incarceration#Returning of Japanese American after WWII
1400,"My dad when he went to Tacoma to work in a group, the gang there, the foreman, he took the payroll and didn't give it to him and the men kind of rioted. They all got thrown in jail, and my dad happened to be there too, so he got thrown in jail. So he always resent that he has a record, thrown in jail, but he left that. In other words, if you pick up a coal that's dropped from the train or railroad track company, boy, they give you a big punishment there in Tacoma area. But then he hitched a ride on a freight train and going to Yakima. That's where the brakemen said, ""How much money you got?"" So he gave all the money he had. ""Is that all you got?"" Then he kicked his belongings off the train and then, so finally, he had to jump off the moving train and go back after his belongings and then finally went to Yakima working there. But then, that ain't the type of country that he wanted to work. So from there, he came to Orient in that area and then work in the logging camp, and that's where my mom came, to the logging camp.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1401,"My dad when he went to Tacoma to work in a group, the gang there, the foreman, he took the payroll and didn't give it to him and the men kind of rioted. They all got thrown in jail, and my dad happened to be there too, so he got thrown in jail. So he always resent that he has a record, thrown in jail, but he left that. In other words, if you pick up a coal that's dropped from the train or railroad track company, boy, they give you a big punishment there in Tacoma area. But then he hitched a ride on a freight train and going to Yakima. That's where the brakemen said, ""How much money you got?"" So he gave all the money he had. ""Is that all you got?"" Then he kicked his belongings off the train and then, so finally, he had to jump off the moving train and go back after his belongings and then finally went to Yakima working there. But then, that ain't the type of country that he wanted to work. So from there, he came to Orient in that area and then work in the logging camp, and that's where my mom came, to the logging camp.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1402,From Hawaii?,Life after removal and during the incarceration
1403,From Hawaii?,Life after removal and during the incarceration
1404,My mom came straight to Japan to Frisco then to Portland and then came to Boring.,Life after removal and during the incarceration#Returning of Japanese American after WWII
1405,So it sounds like they faced a lot of discrimination?,Life after removal and during the incarceration
1406,"Well, not my mom's side. Dad's side, I don't know, because he worked with, well, like logging camp, they're all in groups anyway. I didn't hear so much about it but just that the logging camp because it's the right type of work that my mom wants, but she didn't expect to be in worse in a no family or nothing around to go visit, just stayed at work and then do the men's laundry and stuff like that. And she has said many times that she would like to go back to Japan again, but she never had a chance to get out. She died at seventy-three, I think. I'm a Mama's boy. [Laughs]",Life after removal and during the incarceration#Returning of Japanese American after WWII
1407,So it sounds like a hard life for both your mom and dad?,Life after removal and during the incarceration
1408,"Oh, yeah. They worked hard, and Dad, well, he always wanted to be up, you know. He spent a lot of time with people, you know. My mom was that. My mom was, always want to cook and this and that and take care of the kids. She had a full hand.",Life after removal and during the incarceration
1409,Were they planning to go back to Japan eventually?,Life after removal and during the incarceration
1410,"My dad did go back to Japan to take care of the property and all that, but then my mom with the kids, she can't go. She's always tied down. But she always said she would like to go back to Japan once, but she never got a chance to make it. I don't know. It was all work.",Life after removal and during the incarceration#Returning of Japanese American after WWII
1411,Huh?,Life after removal and during the incarceration
1412,What was your relationship like with your mom?,Life after removal and during the incarceration
1413,What was your relationship like with your mom?,Life after removal and during the incarceration
