id,text,label
1957,And what was your name given to you at birth?,Returning of Japanese American after WWII
1958,"My Japanese name was Kunpei. Kunpei. First character is from kunsho. And pei is ""peace"" or ""flat,"" hiratai.",Returning of Japanese American after WWII
1959,Can you tell us your parents' names and where they were from in Japan?,Returning of Japanese American after WWII
1960,"Yes. My father's name was Setsugo Hosokawa. He came from a farming family in the outskirts of Hiroshima city. I think back then it was about a day's walk from his village to Hiroshima. Today it's about an hour's drive. And my mother, Kimiyo Omura, came from an adjoining village where her father was the soncho, or village chief.",Returning of Japanese American after WWII
1961,"And so when you did start public school, that you really didn't understand English. Could you tell a little bit about that experience?",Returning of Japanese American after WWII
1962,"[Laughs] Yes. We spoke only Japanese at home. My mother spoke very little English, and my father's English was quite limited. And so I suppose my first exposure to English was when I went to kindergarten at the old Main Street School, on Main and Sixth Avenue. And I was there only very briefly, when we moved out a little further and I went to the Washington grade school. And I knew very little English, and I just sort of had to learn by osmosis.",Returning of Japanese American after WWII
1963,"Well, now, at this time, it was obvious to you that you were different because you didn't speak English and you didn't understand what some of the other white American kids were saying. But aside from the language difference, when -- do you recall when you became aware of the difference as far as racially, that you were Asian -- or Japanese American rather than a white American?",Returning of Japanese American after WWII
1964,"Yeah. Well, the student body of Washington grade school was made up mostly of the children of immigrants. There were Spanish Jews and German Jews and Russians and even some Northern European kids. And I don't recall that there was any conflict between them and me, but we did get along, and as we became more fluent in English. We could play together, associate together. And it didn't, not take me a great, long period to become fairly aware of what was going on in the school.",Returning of Japanese American after WWII
1965,"So would you say about second grade or third grade, you had an awareness of, of some of these ethnic differences?",Returning of Japanese American after WWII
1966,"I would, I would say that very early on, the first grade, I could tell that I was different from the other kids. But that didn't seem to make a great deal of difference. And after class, why, I would go home. But by the third grade, I was mixing more with my classmates and visiting their homes, and I don't recall if they ever visited my home, but I became very good friends with a Jewish kid named Harry Glickman. And his folks ran a grocery store on the corner of the block where I lived. And he taught me a great deal about what America was all, all about. For example, I had no idea what peanut butter was, and it was a repulsive-looking thing. But he gave me a piece of bread with peanut butter on it, and I tasted it, and by golly, it was pretty good. So it was that sort of association that helped in the integration of Bill Hosokawa into the American way of life.",Returning of Japanese American after WWII
1967,"Well, now, during your grade school years, was this when your father was in the real estate business?",Returning of Japanese American after WWII
1968,"No. During that period, my father was a -- ran an employment agency. He had a little office down on Main Street, between (Fourth and Fifth), and it consisted of a little room, a telephone, and his desk, and an area where Issei men, mostly bachelors, would come and wait for jobs to show up. And my father knew enough English to answer the phone, and some well-to-do Caucasian woman would say, ""I need a boy to wash windows,"" or, ""I need a boy to, to take the rug out and beat it."" And he would find someone who was willing to do that kind of work, and send them out. And he took a small commission on their pay, and that's how he made a living.",Returning of Japanese American after WWII
1969,"And what, what kind of opinions or thoughts did he convey to you, if any, about interacting with white Americans? Did he talk much about problems of prejudice or discrimination or just instructions on how to behave or interact?",Returning of Japanese American after WWII
1970,"I can't remember that we had any conversation like that. He was busy, I was busy with my things, and I did not feel discriminated against. And he wanted me to be a good student and he encouraged me to study, learn English, but I don't ever recall him talking to me about any discrimination that I might feel. Now, I know that he was aware of those things. I could hear him talking with his Issei friends about the Ku Klux Klan and some of the hostility that Japanese immigrants were facing in California. But there was not too much of that in Washington at that time.",Returning of Japanese American after WWII
1971,"Did he or your mother ever talk to you much about obligation or value for, to do such community service or convey to you some responsibility of yours? That they might have influenced you to take on these kinds of activities in, as you were growing up?",Returning of Japanese American after WWII
1972,"Gee, I don't recall anything like that. I, I do sort of remember that -- my father's activity in community affairs was a sore point with my mother. He spent too much time doing these things, from her point of view.",Returning of Japanese American after WWII
1973,"And I understand also that he was as well, active with the church, the Buddhist church, and, and he sent you to Japanese language school. Did he or your mother have any clear wishes that you become a practicing Buddhist or that you become fluent in Japanese language, that type of desire?",Returning of Japanese American after WWII
