id,text,label
2518,"Okay, so Bob, I start with just the date and where we are, who else is in the room, so today's June 2, 2011. On camera is Dana Hoshide, observing is Casey Ikeda, and I'm the interviewer, Tom Ikeda, and today we're with Bob Santos. And so Bob, I'm just gonna start, why don't you first just tell me when and where you were born?",Returning of Japanese American after WWII
2519,"I was born in Seattle, Harborview Hospital, to my parents, Sammy and Virginia Santos.",Military services#Returning of Japanese American after WWII
2520,"So why don't you tell me, so Sammy Santos, and tell me where he was born and how he came to the United States?",Returning of Japanese American after WWII
2521,Okay. Now it's gonna be a little long 'cause there's a little story to tell.,Returning of Japanese American after WWII
2522,"He just jumps ship, literally jumps ship?",Returning of Japanese American after WWII
2523,"Yeah, when they got near, or when they were docking in San Diego, for some reason he got away and he jumped ship. That's what I hear. I don't know how long, and he never told me how long he was in the brig, but it must've been a year or two years, and when he got out he didn't have any skills.",Returning of Japanese American after WWII
2524,"Okay, so making sure, so he jumped ship and then they caught him?",Returning of Japanese American after WWII
2525,"No, not yet.",Returning of Japanese American after WWII
2526,"Okay, so how, but he was in the brig, though?",Returning of Japanese American after WWII
2527,"No, he was in the brig on the ship.",Returning of Japanese American after WWII
2528,So there was a large Japanese community down there. Did he fight against Japanese? Was that part of...,Returning of Japanese American after WWII
2529,"I don't, I don't know that. I know he, in his old clippings, most of the names were American, white fighters, maybe black fighters. I didn't see any Asian fighters. But he got to be pretty good and he became a main eventer. He worked his way up to eight rounds and ten round, ten round matches. And he fought under the name of Sammy Santos. When he jumped ship he had changed his name, so he just changed his first name to Sammy Santos. And at that time, of course, there's a lot of boxers, a lot of prize fighters who were Filipino. Some Japanese, some Chinese, not very many, but a lot of Filipinos. Pound for pound, they could match up with anybody, and so they became, there was quite a circle of boxers, of prize fighters who came from the Philippines, and my dad was one of them. And there was a couple of champions at that same era, a guy named Speedy Dado and a guy named Marino. They were both champions in their divisions, and I forgot, lighter, the lighter divisions. So Sammy starts winning these fights and then he starts to get publicized, and then the navy says, hey, I think that's the guy we're lookin' for. That's Macario. So my dad got picked up at, he says he was fighting a match, he says, ""I was winning,"" and the shore patrol waited until he, the fight ended and he won the fight, and then they grabbed him and they put him in the brig in San Diego. Dad would never say how long he was in that brig, or that jail, but when he got out, of course, he resumed his boxing career. And there were a lot of Filipinos, a lot of boxers in his weight in this southern California area, so he started --",Returning of Japanese American after WWII
2530,"Backing up just a little bit, I'm curious, so when someone, like, jumps ship and it's kind of a military, you're in the military and they do this, is this on their record? Like in the same way a felony conviction would be in terms of civil and so that it's hard to get jobs or it's part of your record that you have to always report? Is that part of what he had to do?",Returning of Japanese American after WWII
2531,"Yes. Yeah. That would be part. I guess he'd be a felon in today's... and I don't know what the charges and the disposition of his trial if he had one, so we don't know that.",Returning of Japanese American after WWII
2532,"Now, when he sort of talks about those years, any story that comes to mind that kind of captures the life of a boxer on the road doing this?",Returning of Japanese American after WWII
2533,"Well, yeah, the biggest fight towns were towns, at least on the West Coast, where a lot of minority, fighters from the minority community, the black community, Jewish community, and Asian community, where you had populations, say, a lot of Filipinos. He fought in Stockton, California, and a lot of the migrant workers there, or the farm workers, are Filipino, so any time there was a boxing match in Stockton, California, all the Filipinos would show up at the arena for the fights. So many times the arenas were filled up with Filipinos or other ethnic communities if they had an ethnic fighter. I mean, the whole community would come out. And the promoters noticed that, and so they were promoting fights in all the major cities in California where a big Filipino population was, and Seattle had a large Filipino population because of the seafood industry, lot of the Filipinos were brought here as domestics, mostly men. They worked in the farmlands in eastern, central and eastern Washington, so they would end up in Seattle.",Returning of Japanese American after WWII
2534,"So did your father have, these stories, so like at Stockton, for instance, or any community where there's a large Filipino community, so when he fought, how was he treated by the community?",Returning of Japanese American after WWII
