id,text,label
2708,"Okay, today is July 28, 2010. We're at the Centenary Methodist Church in Little Tokyo. We have Dana Hoshide on video, and we will be interviewing Bruce Teruo Kaji, and I will be interviewing. My name is Martha Nakagawa. Okay, Bruce, let's start with your father. What was his name?",Returning of Japanese American after WWII
2709,Umetaro Kaji.,Returning of Japanese American after WWII
2710,"And what prefecture did he, was he born in?",Returning of Japanese American after WWII
2711,"It was Fukuoka-ken, Japan.",Returning of Japanese American after WWII
2712,What level of education did your father have?,Returning of Japanese American after WWII
2713,"He graduated from the University of Kumamoto, and he was a veterinarian doctor.",Military services#Returning of Japanese American after WWII
2714,But he didn't pursue that career. What happened?,Returning of Japanese American after WWII
2715,"Well, he wanted to marry his cousin and the parents would not allow it because it was too close of a relationship. He was disappointed and when they came around to look for people to go to United States to make money, work in agriculture, he signed up. And so he came to United States and first place they landed was Seattle, so he worked on farms in Seattle and he found out that it was not very profitable because the boss was taking everything, and there was very little. And he kept all of the papers, I guess you would call it the visas or whatever were required, but he decided it was not for him, so he left with all of his personal papers, left and came south. He came as far as San Francisco down to Southern California, Los Angeles, and working all the way, trying to make money on the farms, but it wasn't very, very profitable. He finally wound up in Los Angeles and he started working for the Santa Fe Railroad, and as a result he had some stability in income. He wrote to his sister in Japan. At that time they were allowing people to get married by proxy, and he asked if they could find someone suitable for him. And then he got tied in with... my mother, Katsu Kaji, who was in Fukuoka-ken, and he would, they would, recommended her. She sent her picture to him, he approved, and she came over.",Returning of Japanese American after WWII
2716,What was your mother's maiden name?,Returning of Japanese American after WWII
2717,My mother's maiden name was Shimada. Shimada.,Returning of Japanese American after WWII
2718,"Now, you mentioned that your father found a job with the Santa Fe Railroad?",Returning of Japanese American after WWII
2719,Yeah.,Returning of Japanese American after WWII
2720,What was he doing?,Returning of Japanese American after WWII
2721,"He was a repairman for the wheels and the brakes of the major trains, and they had a pool where he did the high maintenance work. It required a lot of manual work, and it was also, was very noisy, so he lost his hearing, hard of hearing. Just like me, I lost my hearing in the army. It's one of those freak deals that follows, I guess, as father-son relationship. [Laughs]",Returning of Japanese American after WWII
2722,"Now, your parents, what year did they get married?",Returning of Japanese American after WWII
2723,"You know, I don't know the exact year, but going back, I would say it must've been in the early, maybe '20, 1920? Yeah, I was born 1926.",Life after removal and during the incarceration#Returning of Japanese American after WWII
2724,"You know, I don't know the exact year, but going back, I would say it must've been in the early, maybe '20, 1920? Yeah, I was born 1926.",Life after removal and during the incarceration#Returning of Japanese American after WWII
2725,"Well, your sister was born...",Returning of Japanese American after WWII
2726,"Now, when your mother arrived in the United States, what kind of work did she do?",Returning of Japanese American after WWII
2727,"She was working for a while at the railroad also. The sleeper trains, they would change the sheets and things like that. And then she got pregnant and then from that point on she was at home.",Returning of Japanese American after WWII
2728,So how many children did your parents have?,Returning of Japanese American after WWII
2729,"Three. Mariko was the oldest, and then Midori was the second, and I was the last. So we had three children.",Returning of Japanese American after WWII
2730,And what year were you born?,Returning of Japanese American after WWII
2731,1926.,Life after removal and during the incarceration
2732,"Now, were all three children delivered by a samba-san?",Life after removal and during the incarceration
2733,"Yes. As far as I know, yes.",Life after removal and during the incarceration
2734,And do you remember your samba-san's name?,Life after removal and during the incarceration
2735,"You know, I don't remember, but it's on my birth certificate. She later lived in Boyle Heights, so we used to walk past her home, and I can't remember her name but...",Life after removal and during the incarceration
2736,"Do you know where you were delivered, what area?",Life after removal and during the incarceration
2737,"I was delivered up on the, where the music center is. Yeah, we were up there on, what street was it? I forget the name of it, but we were up there on Bunker Hill. He was, my father was managing an apartment house and we got a free apartment as long as he managed, collected the rent and sent it to the owner. And when the Depression hit and nobody was paying rent he had to leave because we had, we couldn't pass anybody on to the owner, so we moved to a very rough area that had no, no streets, which was around Ninth, Ninth Street near the armor, armor rendering plant where they killed cattle and... off of Olympic. And the streets that we lived on had no, no streets. It was just sand and dirt. It was very, not very well developed project, but it was a place to sleep. So we moved into a two-bedroom house, the five of us, during the Depression, and it was very tough going.",Life after removal and during the incarceration
2738,"I was delivered up on the, where the music center is. Yeah, we were up there on, what street was it? I forget the name of it, but we were up there on Bunker Hill. He was, my father was managing an apartment house and we got a free apartment as long as he managed, collected the rent and sent it to the owner. And when the Depression hit and nobody was paying rent he had to leave because we had, we couldn't pass anybody on to the owner, so we moved to a very rough area that had no, no streets, which was around Ninth, Ninth Street near the armor, armor rendering plant where they killed cattle and... off of Olympic. And the streets that we lived on had no, no streets. It was just sand and dirt. It was very, not very well developed project, but it was a place to sleep. So we moved into a two-bedroom house, the five of us, during the Depression, and it was very tough going.",Life after removal and during the incarceration
2739,"You said there's this rendering plant nearby, so what did your neighborhood smell like?",Life after removal and during the incarceration
2740,"You said there's this rendering plant nearby, so what did your neighborhood smell like?",Life after removal and during the incarceration
2741,"Pretty powerful smell. It was, people didn't want to live there because of the, the smell and the fact that if you could afford it you would move out. And those that couldn't afford it then moved in, so we couldn't afford living in regular quarters because there was no income coming in, or very little that I, the parents weren't working, both of them weren't working, so...",Life after removal and during the incarceration
2742,What happened to your father's job at the Santa Fe Railroad?,Life after removal and during the incarceration
2743,"Well until the business improved, what I mean is when the Depression hit people weren't traveling. Business came to almost a standstill, so cargo was not being shipped by the trains either, so as the economy improved, then passengers were going onto the train and freight was now being loaded up and delivered, then the railroads then started to have a need for people to come back on. As soon as that happened things improved for us, so we moved from there to Boyle Heights.",Life after removal and during the incarceration
2744,"While you're, let's go back to this place, you said it's close to Olympic and Ninth Street? How did your father put food on the table?",Life after removal and during the incarceration
2745,"We didn't have food, so my sister pulled a little red wagon that I had, and we went to the Ninth Street Produce Market and they dropped me down the bins to then raise whatever vegetables were located there to see what was suitable for them to, to pick, so that was our shopping routine. We would take my wagon and my sister and I would then do the collecting and selection, and that how we got some vegetables and fruits, is... I don't remember it, but they said, ""Oh yes, we did that."" I said I was too little to remember.",Life after removal and during the incarceration
2746,"Now, you had mentioned your father also raised chickens?",Life after removal and during the incarceration
2747,Yeah.,Life after removal and during the incarceration
2748,Was it hard for him to kill the chicken?,Life after removal and during the incarceration
2749,"Well, he was raising chickens and collecting eggs to eat, and after a while, after the chickens were older and we had need to have some meat on the table, he took the chicken, or one of the chickens, and cut its head off. And you know, you have to hold it down because it escapes, and I still remember this chicken without its head on running around the yard, and we were chasing it and chasing it and it had nowhere to go, but when a chicken has its head cut off you don't know which way it's going. [Laughs] And we're chasing it and it's kinda comical because the chicken still had a lot of energy. He's still running around. So until you could catch it again, hold it down, it was a, a riot. It was very... I remember people were chasing it. A chicken without its head. They're very energetic. I would be, too, if I got my head cut off. [Laughs]",Life after removal and during the incarceration
2750,"Let me go back to your, your birth. Bruce, what is your birth name?",Life after removal and during the incarceration
2751,Teruo. That was my Japanese name. T-E-R-U-O.,Life after removal and during the incarceration
2752,"What, when did you adopt the name Bruce?",Life after removal and during the incarceration
2753,"Well, I did that in junior high. Because the teachers had a tough time pronouncing Teruo. They didn't, came up with all kinds of names, so I was kinda embarrassed every time they come to my name they couldn't pronounce it. So at that time the comics were very popular in junior high school. Superman, Batman, and the Katzenjammer Kids and all. Everybody was trading comic books, and I liked the name of the Batman, Bruce Wayne, so I started using Bruce as my personal name. And it wasn't legal, but I used it every opportunity I could. So when I got out of the service I had Henry Tsurutani, an attorney in Little Tokyo, legalize it, and from that time on I used that as my legal name.",Life after removal and during the incarceration
2754,"Now let's go back to where you are living at Ninth, near the Ninth Street produce market, and then the economy started to improve so your family was able to move out of this area. Where did you move to?",Life after removal and during the incarceration
2755,"We moved from the Ninth Street area over to Boyle Heights. Right across from Roosevelt High School was a house for rent on 470 South Mott Street, which was right across the street from the high school and a Japanese garden. So we moved there for I don't know how many years, and that's when I started going to grammar school on First Street, grammar school on First. And when I graduated there moved over to Hollenbeck Junior High, graduated there, I went to Roosevelt.",Life after removal and during the incarceration#Returning of Japanese American after WWII
2756,"Correct me if I'm wrong, when you started the First Street grammar school your oldest sister Midori was in Roosevelt and then... wait a minute, Mariko. Mariko?",Life after removal and during the incarceration
2757,She might've been... Mariko was in Roosevelt.,Life after removal and during the incarceration
2758,"Roosevelt, and Midori was in Hollenbeck Junior High School?",Life after removal and during the incarceration
2759,I think so.,Life after removal and during the incarceration
2760,And then which Japanese language school were you attending?,Life after removal and during the incarceration#Returning of Japanese American after WWII
2761,"Chuo Gakuen, which was right off of First Street, close to the First Street grammar school, so when that school let out at three o'clock, we would just walk across the street from First Street, go about half a block up to Dakota Street and go halfway up the block on Dakota where the Chuo Gakuen school was and attend one hour of Japanese school. And then went home.",Returning of Japanese American after WWII
2762,"Now, you also took kendo lessons at Chuo Gakuen?",Returning of Japanese American after WWII
2763,"Right. In the evenings they had activities. I recall either Wednesday or Thursday, one day was judo and the other day was kendo, and Fridays was Boy Scout. So they got me involved in kendo, and we bought our dougu in Little Tokyo and I have a little bamboo dou and a black mat and then a, bought the shinai, or the sword, and started kendo. And it was following everybody's footsteps. The same applied to the other boys in the area. They went into kendo or judo. I didn't like judo. I liked kendo because you wouldn't have to be flipped around. [Laughs]",Returning of Japanese American after WWII
2764,"Do you remember your kendo teacher and, and the assistant to the kendo teacher?",Returning of Japanese American after WWII
2765,"I remember a kendo teacher, Mr. Shimo. Mr. Shimo's son was Cedric Shimo, and Cedric Shimo was in the Boy Scouts. He was one of my leaders.",Returning of Japanese American after WWII
2766,So when you turned twelve you were able to join the Chuo Gakuen's Boy Scouts? What kind of activities did you do?,Returning of Japanese American after WWII
